Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Genus,Species,CommonName,TaxonName
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,,,Palaemonidae,Palaemonidae
Animalia,Mollusca,,Gastropoda,Heterobranchia,,,Hygrophila,,,Lymneoidea,Lymnaeidae,,,Lymnaeidae,Lymnaeidae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Leptohyphidae,,,Leptohyphidae,Leptohyphidae
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Orthoptera,,,,,,,Orthoptera,Orthoptera
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Brachycera,,,Syrphidae,,,Syrphidae,Syrphidae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Pseudironidae,,,Pseudironidae,Pseudironidae
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Hemiptera,Heteroptera,,,Belostomatidae,,,Belostomatidae,Belostomatidae
Animalia,Arthropoda,Chelicerata,Arachnida,,,,,,,,,,,Arachnid,Arachnida
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Glossosomatidae,,,Glossosomatidae,Glossosomatidae
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Lepidoptera,,,,Pyralidae,,,Pyralidae,Pyralidae
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Dryopidae,,,Dryopidae,Dryopidae
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Elmidae,,,Elmidae,Elmidae
Animalia,Arthropoda,Crustacea,Ostracoda,,,,,,,,,,,Ostracod,Ostracoda
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Limnesiidae,,,Limnesiidae,Limnesiidae
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Lebertiidae,,,Lebertiidae,Lebertiidae
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Ptilodactylidae,,,Ptilodactylidae,Ptilodactylidae
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Plecoptera,,,,Perlodidae,,,Perlodidae,Perlodidae
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Pionidae,,,Pionidae,Pionidae
Animalia,Ectoprocta,,,,,,,,,,,,,Ectoprocta,Ectoprocta
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,,Oribatei,,,,,,Oribatei,Oribatei
Animalia,Mollusca,,Gastropoda,,,,,,,,,,,Gastropoda,Gastropoda
Animalia,Mollusca,,Gastropoda,Caenogastropoda,,,Littorinimorpha,,,Truncatelloidea,Hydrobiidae,,,Hydrobiidae,Hydrobiidae
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Mideopsidae,,,Mideopsidae,Mideopsidae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Archaeognatha,,,,,,,Archaeognatha,Archaeognatha
Animalia,Nematoda,,,,,,,,,,,,,Nematoda,Nematoda
Animalia,Annelida,,Clitellata,Hirudinea,,,,,,,,,,Leech,Hirudinida
Animalia,Arthropoda,,Insecta,,,,Archaeognatha,,,,,,,Archaeognatha,Archaeognatha
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,,,,,,,Amphipod,Amphipoda
Animalia,Mollusca,,Bivalvia,Heterodonta,,,Veneroida,,,Corbiculoidea,,,,Corbiculoidea,Corbiculoidea
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Neuroptera,,,,Sisyridae,,,Sisyridae,Sisyridae
Animalia,Annelida,,Clitellata,Oligochaeta,,,Lumbriculida,,,,Lumbriculidae,,,Lumbriculidae,Lumbriculidae
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Eucarida,Decapoda,,,,,,,Decapod,Decapoda
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Plecoptera,,,,Taeniopterygidae,,,Taeniopterygidae,Taeniopterygidae
Animalia,Mollusca,,Bivalvia,Heterodonta,,,Veneroida,,,Corbiculoidea,Sphaeriidae,,,Sphaeriidae,Sphaeriidae
Animalia,Arthropoda,Chelicerata,Arachnida,,,,Opiliones,,,,,,,Opiliones,Opiliones
Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,,,,Ephemerpotera,Ephemeroptera
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Cypriniformes,,,,Catostomidae,,,Catostomidae,Catostomidae
Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,Acariformes,Trombidiformes,,,,Sperchontidae,,,Sperchontidae,Sperchontidae
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Scorpaeniformes,Cottoidei,,,Cottidae,,,Unidentified Sculpin,Cottidae
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Clupeiformes,Clupeoidei,,,Clupeidae,,,Clupeidae,Clupeidae
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Perciformes,Gobioidei,,,Gobiidae,,,Unidentified goby,Gobiidae
Animalia,Platyhelminthes,,Turbellaria,,,,,,,,,,,Other Turbellaria,Turbellaria
Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,,,Diplostraca,Cladocera,Anomopoda,,Daphniidae,,,Daphniidae,Daphniidae
Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,,,,,,,Cyclopoid,Cyclopoida
Animalia,Arthropoda,Chelicerata,Arachnida,,,,Araneae,,,,,,,Araneae,Araneae
Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,,,Diplostraca,Cladocera,Anomopoda,,Chydoridae,,,Chydoridae,Chydoridae
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,,,,Trichoptera,Trichoptera
Animalia,Mollusca,,Gastropoda,,,,Stylommatophora,,,,,,,Stylommatophora,Stylommatophora
Animalia,Chordata,Vertebrata,Actinopterygii,,,,,,,,,,,Actinopterygii Fish,Actinopterygii
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Atheriniformes,Atherinoidei,,,Atherinidae,,,Atherinidae,Atherinidae
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Cypriniformes,,,,Cyprinidae,,,Cyprinidae,Cyprinidae
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Perciformes,Percoidei,,,Moronidae,Morone,,Morone sp.,Morone sp.
Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Hemiptera,Heteroptera,,,Naucoridae,,,Naucoridae,Naucoridae
Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,,,Diplostraca,Cladocera,Ctenopoda,,Sididae,,,Sididae,Sididae
Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,,,,,,,Calanoid,Calanoida
Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,,,Diplostraca,Cladocera,,,,,,Cladoceran,Cladocera
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Cyprinodontiformes,,,,Cyprinodontidae,,,Cyprinodontidae,Cyprinodontidae
Animalia,Arthropoda,Myriapoda,Diplopoda,,,,,,,,,,,Diplopoda,Diplopoda
Animalia,Mollusca,,Gastropoda,,,,Heterostropha,,,,Murchisonellidae,,,Murchisonellidae,Murchisonellidae
Animalia,Mollusca,,Gastropoda,Heterobranchia,,,Hygrophila,,,,,,,Hygrophila,Hygrophila
Animalia,Mollusca,,Gastropoda,Heterobranchia,,,,,,,,,,Other Heterobranchia,Heterobranchia
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Atheriniformes,,,,Atherinopsidae,,,Atherinopsidae,Atherinopsidae
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Tanaidacea,,,,,,,Tanaidacea,Tanaidacea
Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,,,,,,,,,Copepod,Copepoda
Animalia,Arthropoda,Hexapoda,Insecta,,,,Blattodea,,,,,,,Blattodea,Blattodea
Animalia,Arthropoda,Chelicerata,Arachnida,,,,Pseudoscorpiones,,,,,,,Pseudoscorpiones,Pseudoscorpiones
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Perciformes,Percoidei,,,Percidae,,,Percidae,Percidae
Animalia,Chordata,Vertebrata,Actinopterygii,,,,Siluriformes,,,,Ictaluridae,,,Catfish,Ictaluridae
Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,,,Diplostraca,Cladocera,Anomopoda,,Bosminidae,,,Bosminidae,Bosminidae
Animalia,Annelida,,Clitellata,Oligochaeta,,,,,,,,,,Oligochaete Worm,Oligochaeta
Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Brachycera,,,Dolichopodidae,,,Dolichopodidae,Dolichopodidae
Animalia,Arthropoda,Hexapoda,Insecta,,,,Embioptera,,,,,,,Embioptera,Embioptera
Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Tanaidacea,Tanaidomorpha,,Tanaoidea,Tanaidae,,,Tanaidae,Tanaidae
unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,Unidentified,Unidentified
